type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-04 15:15:00,2019-01-07 11:15:00,1.3,1.25,Long,37955,-0.050000000000000044,-1897.7500000000016,984935.0999999999,SL,BCG,2 days 20:00:00
Long,2019-01-07 09:15:00,2019-01-07 12:15:00,3.55,3.5,Long,13872,-0.04999999999999982,-693.5999999999975,984241.4999999999,SL,RTNPOWER,0 days 03:00:00
Long,2019-01-07 09:15:00,2019-01-07 12:15:00,7.6,7.65,Long,6475,0.05000000000000071,323.7500000000046,984565.2499999999,TP,JPASSOCIAT,0 days 03:00:00
Long,2019-01-07 09:15:00,2019-01-07 12:15:00,39.7,41.7,Long,1240,2.0,2480.0,987045.2499999999,TP,DISHTV,0 days 03:00:00
Long,2019-01-07 09:15:00,2019-01-07 12:15:00,0.9,0.9,Long,54835,0.0,0.0,987045.2499999999,SL,GTLINFRA,0 days 03:00:00
Long,2019-01-07 10:15:00,2019-01-07 13:15:00,47.35,46.2,Long,1042,-1.1499999999999986,-1198.2999999999986,985846.9499999998,SL,IDFCFIRSTB,0 days 03:00:00
Long,2019-01-07 10:15:00,2019-01-07 13:15:00,1601.0,1558.65,Long,30,-42.34999999999991,-1270.4999999999973,984576.4499999998,SL,INDUSINDBK,0 days 03:00:00
Long,2019-01-07 10:15:00,2019-01-07 13:15:00,92.0,89.55,Long,535,-2.450000000000003,-1310.7500000000016,983265.6999999998,SL,IBREALEST,0 days 03:00:00
Long,2019-01-07 10:15:00,2019-01-07 13:15:00,44.8,44.65,Long,1097,-0.14999999999999858,-164.54999999999845,983101.1499999998,SL,IDFC,0 days 03:00:00
Long,2019-01-07 11:15:00,2019-01-07 14:15:00,94.7,93.95,Long,519,-0.75,-389.25,982711.8999999998,SL,TATAMTRDVR,0 days 03:00:00
Long,2019-01-07 11:15:00,2019-01-07 14:15:00,3.55,3.5,Long,13841,-0.04999999999999982,-692.0499999999976,982019.8499999997,SL,URJA,0 days 03:00:00
